ID,Nomination_ID,Jury_ID,Rating,Rating_Datetime,Active
1,12,drshyam12,55,25:05.5,1
2,16,drshyam12,50,27:26.0,1
3,39,drshyam12,60,29:24.2,1
4,43,drshyam12,65,31:19.8,1
5,47,drshyam12,45,33:25.2,1
6,59,drshyam12,55,34:39.3,1
7,62,drshyam12,55,37:05.3,1
8,65,drshyam12,70,38:45.5,1
9,66,drshyam12,60,46:15.5,1
10,68,drshyam12,70,08:03.6,1
11,72,drshyam12,75,09:41.7,1
12,74,drshyam12,55,12:04.7,1
13,80,drshyam12,55,14:40.7,1
14,84,drshyam12,65,15:42.3,1
15,90,drshyam12,60,17:12.7,1
16,91,drshyam12,60,33:31.1,1
17,100,drshyam12,55,34:58.6,1
18,112,drshyam12,50,36:46.8,1
19,115,drshyam12,65,38:06.8,1
20,120,drshyam12,70,40:21.7,1
21,121,drshyam12,55,42:11.0,1
22,122,drshyam12,55,43:43.1,1
23,126,drshyam12,60,45:17.8,1
24,131,drshyam12,60,47:24.3,1
25,137,drshyam12,60,52:08.1,1
26,140,drshyam12,60,53:29.9,1
27,2,drshyam12,55,56:24.3,1
28,5,drshyam12,60,59:25.3,1
29,7,drshyam12,45,00:18.6,1
30,9,drshyam12,45,02:20.3,1
31,17,drshyam12,70,06:39.2,1
32,19,drshyam12,50,57:45.6,1
33,37,drshyam12,55,59:14.8,1
34,48,drshyam12,60,01:43.8,1
35,49,drshyam12,62,03:45.6,1
36,53,drshyam12,60,05:44.2,1
37,73,drshyam12,50,09:56.3,1
38,85,drshyam12,60,14:35.9,1
39,86,drshyam12,60,16:25.5,1
40,87,drshyam12,65,19:29.4,1
41,97,drshyam12,55,24:05.4,1
42,98,drshyam12,60,26:46.7,1
43,107,drshyam12,55,28:00.2,1
44,116,drshyam12,55,32:02.5,1
45,136,drshyam12,60,38:05.1,1
46,1,drshyam12,50,41:21.3,1
47,6,drshyam12,55,44:21.1,1
48,10,drshyam12,70,23:26.4,1
49,11,drshyam12,65,24:45.2,1
50,18,drshyam12,45,57:45.7,1
51,20,drshyam12,50,58:45.3,1
52,40,drshyam12,62,59:44.2,1
53,41,drshyam12,60,00:41.1,1
54,46,drshyam12,65,01:56.7,1
55,51,drshyam12,62,09:18.0,1
56,52,drshyam12,60,10:50.9,1
