ID,Nomination_ID,Jury_ID,Rating,Rating_Datetime,Active
1,5,profvan4,60,23:30.4,1
2,32,drbalac2,85,33:18.3,1
3,34,drbalac2,50,33:28.6,1
4,38,drbalac2,55,31:55.7,1
5,55,drbalac2,30,31:45.2,1
6,62,drbalac2,50,33:06.6,1
7,67,drbalac2,55,32:57.1,1
8,70,drbalac2,50,31:12.2,1
9,72,drbalac2,60,31:02.7,1
10,1,drdsrin7,90,32:03.9,1
11,5,drdsrin7,60,32:19.2,1
12,7,drdsrin7,80,32:33.2,1
13,14,drdsrin7,80,32:45.9,1
14,15,drdsrin7,60,32:59.2,1
15,16,drdsrin7,50,33:13.0,1
16,21,drdsrin7,90,33:28.4,1
17,23,drdsrin7,60,33:43.9,1
18,24,drdsrin7,60,33:56.4,1
19,26,drdsrin7,70,34:13.5,1
20,35,drdsrin7,60,34:27.5,1
21,36,drdsrin7,50,35:48.9,1
22,37,drdsrin7,80,36:18.6,1
23,41,drdsrin7,50,36:28.8,1
24,43,drdsrin7,60,36:45.5,1
25,48,drdsrin7,70,37:02.6,1
26,49,drdsrin7,70,37:18.0,1
27,51,drdsrin7,90,37:36.0,1
28,52,drdsrin7,70,37:59.6,1
29,60,drdsrin7,70,38:13.3,1
30,61,drdsrin7,70,38:23.4,1
31,69,drdsrin7,60,38:38.7,1
32,71,drdsrin7,70,38:56.7,1
33,73,drdsrin7,60,39:13.0,1
34,6,drdsrin7,90,39:44.9,1
35,8,drdsrin7,80,40:11.5,1
36,12,drdsrin7,70,40:54.4,1
37,20,drdsrin7,60,41:15.4,1
38,28,drdsrin7,80,41:34.1,1
39,31,drdsrin7,70,41:52.3,1
40,32,drdsrin7,90,42:12.8,1
41,34,drdsrin7,80,42:32.4,1
42,38,drdsrin7,80,42:49.0,1
43,55,drdsrin7,50,43:04.7,1
44,62,drdsrin7,90,44:08.8,1
45,67,drdsrin7,60,44:22.6,1
46,70,drdsrin7,60,44:33.1,1
47,72,drdsrin7,50,44:45.9,1
48,1,drsubir3,60,30:52.2,1
49,5,drsubir3,70,30:31.8,1
50,7,drsubir3,60,30:17.5,1
51,14,drsubir3,65,30:07.0,1
52,15,drsubir3,70,29:45.0,1
53,16,drsubir3,60,29:32.2,1
54,6,drbalac2,60,33:41.1,1
55,8,drbalac2,60,33:52.0,1
56,12,drbalac2,55,34:23.9,1
57,20,drbalac2,45,34:13.3,1
58,28,drbalac2,50,34:03.3,1
59,31,drbalac2,40,34:33.1,1
60,48,drbalac2,55,30:41.1,1
61,49,drbalac2,55,30:51.6,1
62,51,drbalac2,80,35:03.7,1
63,52,drbalac2,65,31:31.7,1
64,60,drbalac2,70,34:51.7,1
65,61,drbalac2,75,35:21.0,1
66,69,drbalac2,50,35:31.6,1
67,71,drbalac2,55,34:41.6,1
68,73,drbalac2,70,31:22.8,1
69,1,drbalac2,75,28:24.3,1
70,5,drbalac2,60,28:37.0,1
71,7,drbalac2,70,28:45.2,1
72,14,drbalac2,80,28:55.7,1
73,15,drbalac2,70,29:04.0,1
74,16,drbalac2,50,29:13.0,1
75,21,drbalac2,90,29:21.4,1
76,23,drbalac2,60,29:29.6,1
77,24,drbalac2,70,29:37.0,1
78,26,drbalac2,60,29:46.7,1
79,35,drbalac2,50,29:55.8,1
80,36,drbalac2,45,30:04.8,1
81,37,drbalac2,70,30:13.8,1
82,41,drbalac2,45,30:21.3,1
83,43,drbalac2,60,30:29.7,1
84,21,drsubir3,60,29:21.2,1
85,23,drsubir3,70,29:12.1,1
86,24,drsubir3,55,28:57.8,1
87,26,drsubir3,60,27:27.0,1
88,35,drsubir3,65,27:16.1,1
89,1,profvan4,80,23:19.1,1
90,36,drsubir3,60,27:09.0,1
91,37,drsubir3,70,26:55.9,1
92,41,drsubir3,55,26:43.9,1
93,43,drsubir3,65,26:36.3,1
94,1,drkalpa9,90,37:25.1,1
95,5,drkalpa9,80,37:42.3,1
96,7,drkalpa9,70,54:55.6,1
97,14,drkalpa9,90,55:26.3,1
98,48,drsubir3,65,26:27.7,1
99,49,drsubir3,70,26:16.3,1
100,51,drsubir3,75,43:04.7,1
101,52,drsubir3,61,42:49.2,1
102,60,drsubir3,60,42:37.1,1
103,61,drsubir3,60,42:21.8,1
104,69,drsubir3,65,42:09.8,1
105,71,drsubir3,55,41:57.5,1
106,73,drsubir3,60,41:42.8,1
107,6,drsubir3,62,41:23.6,1
108,8,drsubir3,62,41:09.7,1
109,12,drsubir3,65,40:54.1,1
110,20,drsubir3,55,40:37.2,1
111,28,drsubir3,65,42:05.4,1
112,31,drsubir3,60,41:49.5,1
113,32,drsubir3,55,41:34.5,1
114,34,drsubir3,60,41:22.4,1
115,38,drsubir3,60,41:06.4,1
116,55,drsubir3,62,40:50.8,1
117,62,drsubir3,55,40:38.8,1
118,70,drsubir3,62,40:21.2,1
119,72,drsubir3,68,40:06.4,1
120,15,drkalpa9,80,17:02.0,1
121,16,drkalpa9,75,22:24.0,1
122,21,drkalpa9,95,26:31.9,1
123,23,drkalpa9,70,29:56.2,1
124,24,drkalpa9,70,30:56.4,1
125,26,drkalpa9,75,37:07.6,1
126,35,drkalpa9,80,40:39.1,1
127,36,drkalpa9,70,04:55.6,1
128,37,drkalpa9,90,08:37.2,1
129,41,drkalpa9,60,10:31.0,1
130,43,drkalpa9,80,13:48.2,1
131,48,drkalpa9,75,17:27.2,1
132,49,drkalpa9,60,19:17.2,1
133,51,drkalpa9,80,21:40.4,1
134,52,drkalpa9,80,26:42.9,1
135,60,drkalpa9,80,29:02.5,1
136,61,drkalpa9,95,33:49.2,1
137,69,drkalpa9,75,35:06.9,1
138,71,drkalpa9,60,36:15.2,1
139,73,drkalpa9,65,38:50.3,1
140,6,drkalpa9,75,13:10.7,1
141,8,drkalpa9,85,11:58.2,1
142,12,drkalpa9,55,12:42.4,1
143,20,drkalpa9,50,13:32.5,1
144,28,drkalpa9,45,13:54.9,1
145,31,drkalpa9,45,14:17.9,1
146,32,drkalpa9,90,01:27.1,1
147,34,drkalpa9,80,10:58.4,1
148,38,drkalpa9,85,01:07.3,1
149,55,drkalpa9,45,02:12.5,1
150,62,drkalpa9,85,03:21.9,1
151,67,drkalpa9,70,06:16.3,1
152,70,drkalpa9,75,07:24.6,1
153,72,drkalpa9,70,10:26.1,1
154,67,drsubir3,55,59:17.8,1
155,7,profvan4,75,23:39.4,1
156,14,profvan4,90,23:50.4,1
157,15,profvan4,75,23:58.2,1
158,1,drsyedz5,80,53:26.3,1
159,5,drsyedz5,55,59:54.4,1
160,7,drsyedz5,65,19:38.3,1
161,14,drsyedz5,77,27:32.0,1
162,15,drsyedz5,70,28:42.1,1
163,16,drsyedz5,35,30:10.5,1
164,32,drsyedz5,85,35:00.5,1
165,72,drsyedz5,77,08:18.4,1
166,70,drsyedz5,72,08:42.3,1
167,67,drsyedz5,83,09:08.7,1
168,62,drsyedz5,71,25:48.3,1
169,21,drsyedz5,35,20:51.9,1
170,23,drsyedz5,45,23:08.9,1
171,24,drsyedz5,50,24:39.6,1
172,26,drsyedz5,45,26:03.6,1
173,35,drsyedz5,30,32:45.8,1
174,36,drsyedz5,30,33:37.1,1
175,37,drsyedz5,65,34:53.7,1
176,48,drsyedz5,60,36:35.5,1
177,41,drsyedz5,40,37:21.3,1
178,43,drsyedz5,75,38:26.2,1
179,49,drsyedz5,35,39:06.3,1
180,51,drsyedz5,85,48:31.9,1
181,52,drsyedz5,80,49:34.3,1
182,60,drsyedz5,80,50:33.6,1
183,61,drsyedz5,70,51:26.6,1
184,69,drsyedz5,35,52:26.6,1
185,31,drsyedz5,30,52:47.4,1
186,71,drsyedz5,50,54:09.9,1
187,6,drsyedz5,45,55:19.4,1
188,12,drsyedz5,40,04:29.2,1
189,73,drsyedz5,45,05:13.3,1
190,20,drsyedz5,30,05:56.5,1
191,8,drsyedz5,65,06:25.7,1
192,16,profvan4,80,23:05.2,1
193,21,profvan4,80,23:12.6,1
194,23,profvan4,70,25:57.9,1
195,24,profvan4,65,28:37.9,1
196,26,profvan4,70,32:14.5,1
197,35,profvan4,70,39:34.9,1
198,36,profvan4,65,42:21.0,1
199,37,profvan4,85,02:57.8,1
200,41,profvan4,65,07:26.9,1
201,43,profvan4,65,12:03.6,1
202,48,profvan4,70,15:57.2,1
203,49,profvan4,80,22:09.5,1
204,51,profvan4,80,27:34.9,1
205,52,profvan4,85,33:01.6,1
206,60,profvan4,75,46:03.9,1
207,61,profvan4,82,56:10.9,1
208,69,profvan4,65,01:37.6,1
209,71,profvan4,70,07:21.2,1
210,73,profvan4,70,12:38.7,1
211,6,profvan4,80,18:01.7,1
212,8,profvan4,70,27:20.8,1
213,12,profvan4,70,31:17.3,1
214,20,profvan4,65,37:55.1,1
215,28,profvan4,70,42:46.2,1
216,31,profvan4,65,47:18.2,1
217,32,profvan4,65,52:45.3,1
218,34,profvan4,70,57:36.1,1
219,38,profvan4,80,27:34.5,1
220,55,profvan4,70,32:16.0,1
221,62,profvan4,73,41:22.5,1
222,67,profvan4,65,44:35.2,1
223,70,profvan4,70,49:11.9,1
224,72,profvan4,75,55:49.4,1
225,28,drsyedz5,60,13:21.6,1
226,34,drsyedz5,30,13:51.5,1
227,38,drsyedz5,80,15:03.7,1
228,55,drsyedz5,60,16:16.6,1
229,1,drtapas8,55,55:02.4,1
230,5,drtapas8,40,57:59.9,1
231,7,drtapas8,50,59:37.9,1
232,14,drtapas8,75,02:39.3,1
233,15,drtapas8,50,03:49.6,1
234,16,drtapas8,40,05:44.7,1
235,21,drtapas8,80,11:31.3,1
236,23,drtapas8,55,14:50.1,1
237,24,drtapas8,55,15:53.8,1
238,26,drtapas8,40,17:18.0,1
239,35,drtapas8,55,18:40.6,1
240,36,drtapas8,50,19:49.8,1
241,37,drtapas8,55,21:58.7,1
242,41,drtapas8,45,22:38.5,1
243,43,drtapas8,55,24:05.2,1
244,48,drtapas8,55,24:55.6,1
245,49,drtapas8,40,25:43.7,1
246,51,drtapas8,70,26:45.4,1
247,52,drtapas8,40,27:21.7,1
248,60,drtapas8,55,41:08.7,1
249,61,drtapas8,75,42:22.5,1
250,69,drtapas8,55,42:50.9,1
251,71,drtapas8,50,43:55.8,1
252,73,drtapas8,50,45:02.5,1
253,6,drtapas8,55,14:12.2,1
254,8,drtapas8,75,18:17.8,1
255,12,drtapas8,50,24:04.9,1
256,20,drtapas8,50,25:28.2,1
257,28,drtapas8,65,28:18.3,1
258,31,drtapas8,50,30:02.3,1
259,32,drtapas8,75,32:20.5,1
260,34,drtapas8,65,24:39.9,1
261,38,drtapas8,40,27:10.6,1
262,55,drtapas8,35,29:44.0,1
263,62,drtapas8,80,37:28.6,1
264,67,drtapas8,50,38:12.7,1
265,70,drtapas8,65,40:50.6,1
266,72,drtapas8,55,44:37.4,1
